Customer Satisfaction Score,Response Time,Daily User Logins,Average Session Duration,Survey Response Rate,Transaction Amount,Product Rating,Preferred Communication Channel,Membership Status,Product Category Preference,High-Value Purchase Count,Customer Support Calls,Website Click-Through Rate,Newsletter Open Rate,Social Media Engagement Score,Referral Count,Account Age,Feedback Score,Product Return Rate,Marketing Email Click Rate,Subscription Status,Product Upsell Success,Customer Segment Group,Interest in New Product,Income Level
74,55.44,61,41.96,24.77,35.60,76,Email,Yes,Platinum,4.07,85.55,70,47.4,9.78,49,47,17,No,39.85,0,0,D,Yes,Medium
50,85.65,66,16.29,7.06,64.24,3,Phone,Yes,Platinum,38.82,64.33,46,54.6,94.15,39,96,91,No,6.94,0,1,A,Yes,Medium
32,84.49,2,81.45,28.19,11.82,70,SMS,Yes,Basic,80.35,28.20,18,75.1,80.68,99,41,37,No,34.08,1,0,B,No,Medium
10,90.26,51,82.65,49.61,50.25,50,Email,Yes,Gold,31.93,95.01,95,57.3,63.18,45,29,33,No,75.24,0,1,B,No,Medium
55,44.15,89,35.09,11.71,14.30,76,Phone,Yes,Basic,70.10,7.28,82,70.6,8.13,8,99,37,No,81.28,0,0,C,No,Medium
78,55.84,42,90.64,11.12,49.26,1,SMS,Yes,Gold,11.75,64.92,75,58.3,96.22,37,29,87,No,96.32,1,0,A,Yes,Medium
99,7.38,55,96.93,52.31,62.94,70,Email,Yes,Platinum,90.12,4.54,28,95.0,89.03,46,62,28,No,46.37,1,0,B,No,Low
70,53.61,31,81.38,68.47,16.26,91,Phone,Yes,Basic,61.34,41.82,93,86.6,4.52,3,38,81,No,15.04,0,0,C,Yes,Medium
47,41.48,27,5.64,49.61,50.25,50,SMS,Yes,Basic,94.48,84.96,25,45.1,12.92,95,61,23,No,61.81,0,0,C,No,High
52,85.22,55,56.09,87.67,40.35,13,Email,Yes,Gold,70.41,21.30,14,1.5,35.06,59,39,44,No,34.83,1,0,D,Yes,Medium
95,14.71,93,49.21,49.61,50.25,50,Phone,Yes,Platinum,24.01,7.59,13,12.8,15.19,14,64,18,No,89.68,1,0,D,No,Medium
17,27.86,18,8.87,12.06,46.08,21,SMS,Yes,Platinum,3.93,79.94,63,8.2,87.36,92,6,28,No,74.83,1,1,D,No,High
37,46.25,75,3.67,25.24,71.33,90,Email,Yes,Platinum,44.74,53.26,24,26.9,37.73,2,32,21,No,11.98,0,1,D,Yes,Low
9,53.71,59,74.54,43.17,12.76,28,Phone,Yes,Gold,35.61,98.65,61,23.7,10.18,15,25,16,No,28.51,0,1,A,Yes,Low
98,11.20,40,96.95,86.55,81.71,26,SMS,Yes,Gold,55.68,57.16,28,76.9,18.70,32,43,51,No,11.48,1,0,A,Yes,Medium
53,5.18,34,13.44,6.34,99.00,32,Email,Yes,Platinum,76.02,59.56,47,41.2,34.89,93,83,97,No,73.09,0,1,A,Yes,Medium
84,13.98,80,20.16,49.61,50.25,50,Phone,Yes,Basic,87.72,39.24,82,43.9,37.69,46,30,75,No,23.22,0,0,B,Yes,Medium
12,93.98,63,33.49,13.93,79.40,62,SMS,Yes,Gold,15.17,31.17,25,74.4,3.35,57,76,88,No,82.13,1,1,A,No,Medium
15,22.93,72,72.00,64.11,69.39,54,Email,Yes,Gold,90.85,58.34,40,46.2,94.73,15,59,51,No,1.81,1,0,C,Yes,Medium
71,15.25,58,60.67,42.41,73.64,93,Phone,Yes,Gold,98.48,83.89,12,92.1,86.99,52,59,40,No,33.52,0,1,D,Yes,Low
92,34.63,35,73.75,45.22,22.46,45,SMS,Yes,Basic,41.89,91.48,36,58.1,63.23,1,66,18,No,14.87,1,0,B,Yes,High
7,75.00,21,89.81,20.51,19.07,4,Email,Yes,Platinum,77.55,45.33,52,44.1,40.08,56,16,18,No,94.61,1,0,A,No,Low
16,71.60,66,2.71,22.20,23.11,67,Phone,Yes,Platinum,17.85,65.27,24,9.9,24.32,72,86,83,No,66.81,0,0,A,Yes,High
21,2.65,18,58.30,42.14,89.27,82,SMS,Yes,Basic,59.03,26.81,62,40.9,55.20,44,29,95,No,14.01,1,0,B,No,Low
2,26.87,54,63.35,25.79,13.94,83,Email,Yes,Gold,27.23,1.84,91,11.8,57.65,27,55,65,No,20.64,1,0,B,No,Low
60,66.50,18,91.44,41.88,38.31,52,Phone,Yes,Basic,8.28,60.32,25,38.9,28.87,36,72,30,No,47.61,0,1,A,Yes,Medium
26,59.51,5,49.64,49.61,50.25,50,SMS,Yes,Gold,49.55,68.84,43,24.6,81.91,80,69,27,No,36.10,1,0,C,No,Low
19,54.19,87,73.22,80.66,65.88,69,Email,Yes,Platinum,22.12,98.77,94,3.9,70.56,93,18,57,No,3.39,1,0,B,No,High
47,86.20,84,31.91,82.89,3.70,60,Phone,Yes,Basic,69.63,33.99,72,6.5,31.53,54,79,32,No,88.60,0,1,B,No,Low
87,52.89,94,79.88,99.79,35.07,77,SMS,Yes,Basic,87.37,98.41,77,41.8,42.14,74,24,11,No,28.72,1,1,C,Yes,Low
43,38.43,68,21.83,49.61,50.25,50,Email,Yes,Gold,46.74,61.34,17,99.1,23.17,94,65,61,No,23.07,1,1,D,Yes,Medium
6,96.91,88,92.78,99.49,17.39,40,Phone,Yes,Platinum,81.58,22.44,22,53.7,59.29,58,9,88,No,12.95,1,0,D,Yes,High
55,8.70,41,37.27,25.98,72.34,50,SMS,Yes,Platinum,7.61,85.12,50,48.1,59.24,82,35,68,No,26.70,1,1,A,Yes,Low
71,83.70,70,68.01,61.86,75.27,16,Email,Yes,Platinum,82.58,12.89,34,74.4,16.08,82,83,51,No,28.70,0,0,B,Yes,Low
54,77.98,11,76.10,54.13,96.30,34,Phone,Yes,Gold,93.72,68.79,7,30.1,70.82,7,58,35,No,4.57,0,0,C,No,High
76,2.46,2,32.36,48.86,77.04,68,SMS,Yes,Gold,42.62,45.14,16,79.5,69.37,22,8,68,No,27.33,0,1,D,Yes,High
64,39.76,27,98.40,49.61,50.25,50,Email,Yes,Platinum,36.85,86.44,47,96.8,18.55,87,78,77,No,76.10,0,1,D,No,Medium
80,48.15,12,12.52,68.56,43.03,20,Phone,Yes,Basic,26.90,79.76,31,45.5,1.16,7,39,48,No,29.17,1,1,D,Yes,Medium
10,24.20,99,14.25,49.89,61.82,70,SMS,Yes,Gold,51.77,8.79,35,3.3,7.86,40,13,57,No,80.06,0,1,A,No,Medium
3,93.62,5,54.13,70.91,87.10,71,Email,Yes,Gold,8.01,89.48,55,81.7,45.23,64,53,73,No,6.04,1,0,A,No,Low
34,18.21,79,65.87,49.82,55.54,72,Phone,Yes,Gold,65.03,19.95,68,7.2,3.07,26,46,87,No,74.27,1,0,B,Yes,Low
87,57.87,44,72.53,48.67,87.34,90,SMS,Yes,Basic,91.24,21.07,62,63.2,73.31,13,72,91,No,23.75,0,0,D,No,High
87,44.53,51,35.92,49.61,50.25,50,Email,Yes,Platinum,32.52,77.35,13,97.0,45.38,24,7,17,No,33.70,1,1,C,No,Low
17,16.76,4,73.64,66.38,47.46,84,Phone,Yes,Platinum,20.58,11.19,27,5.7,53.12,94,4,12,No,93.39,0,1,C,No,Low
97,0.49,95,63.91,86.79,45.47,52,SMS,Yes,Basic,3.00,30.79,70,20.2,67.34,97,9,67,No,86.81,0,1,A,No,Medium
50,61.78,87,57.06,3.04,93.09,69,Email,Yes,Gold,39.39,65.12,11,65.8,99.94,5,98,41,No,78.24,0,1,C,No,Medium
67,80.78,76,79.78,43.56,81.78,12,Phone,Yes,Basic,36.65,39.62,70,38.9,44.87,24,37,23,No,60.34,1,1,B,No,Low
52,47.92,3,34.12,38.02,39.88,58,SMS,Yes,Gold,81.30,71.81,96,1.8,19.58,1,65,90,No,92.70,0,0,C,No,High
26,28.49,31,80.30,53.92,31.13,61,Email,Yes,Platinum,12.19,18.11,68,18.1,52.52,71,11,57,No,96.29,1,1,C,No,Low
95,60.16,82,88.42,22.81,21.20,61,Phone,Yes,Basic,35.34,23.69,78,27.5,82.26,42,67,10,No,45.18,0,0,C,Yes,High
10,2.36,64,60.71,54.67,23.19,39,SMS,Yes,Basic,13.64,69.51,40,42.8,71.76,69,99,13,No,72.43,0,1,D,No,Low
19,32.34,23,35.50,6.94,51.91,7,Email,Yes,Gold,88.01,65.09,53,32.4,33.30,67,99,66,No,73.07,1,0,B,No,High
69,20.09,54,9.67,45.04,75.62,35,Phone,Yes,Platinum,23.46,39.93,15,99.2,92.70,54,84,52,No,8.91,1,0,C,No,Low
4,30.31,26,36.01,8.76,93.70,55,SMS,Yes,Platinum,60.06,51.57,92,49.7,99.22,85,21,93,No,81.74,0,0,D,Yes,High
30,8.09,40,17.35,69.50,34.61,98,Email,Yes,Platinum,86.20,92.28,49,60.6,76.48,17,50,40,No,36.75,1,0,D,Yes,Medium
97,43.25,31,50.61,43.95,10.57,64,Phone,Yes,Gold,15.20,6.13,78,46.0,5.82,99,6,70,No,23.92,1,1,A,No,Low
6,50.94,100,81.40,61.52,30.63,62,SMS,Yes,Gold,88.66,44.98,19,36.8,41.41,83,73,77,No,41.62,0,1,C,No,Low
54,21.52,1,24.12,97.59,80.15,96,Email,Yes,Platinum,45.44,84.44,128,48.8,15.00,32,74,48,No,39.45,1,1,D,Yes,High
32,68.81,44,25.47,84.09,3.84,90,Phone,Yes,Basic,89.51,63.67,61,6.7,51.84,15,74,51,No,4.17,1,1,C,Yes,Low
96,73.75,35,29.65,34.97,77.47,66,SMS,Yes,Gold,66.03,76.44,27,2.1,8.22,97,30,77,No,38.19,0,0,D,Yes,Medium
53,4.20,97,79.87,29.28,98.00,60,Email,Yes,Gold,65.65,12.81,34,92.8,22.46,37,43,44,No,94.31,1,0,A,No,High
29,81.59,86,84.65,91.89,25.22,76,Phone,Yes,Gold,77.64,65.62,18,54.5,98.47,94,4,16,No,72.60,1,0,D,Yes,Low
54,59.03,51,29.75,56.50,68.89,87,SMS,Yes,Basic,46.16,0.93,25,72.6,99.18,10,40,80,No,55.51,0,1,C,No,High
55,0.52,76,3.53,74.57,20.25,96,Email,Yes,Platinum,30.56,87.67,100,36.8,44.86,72,89,59,No,41.26,1,0,B,Yes,High
9,58.82,48,64.23,6.49,58.00,56,Phone,Yes,Platinum,80.50,26.98,83,49.8,7.71,6,33,78,No,78.86,1,0,D,No,High
9,22.06,60,73.57,99.83,93.31,64,SMS,Yes,Basic,11.83,40.99,84,38.4,57.19,59,18,36,No,2.62,1,1,B,Yes,Low
94,25.93,43,87.27,84.19,18.61,80,Email,Yes,Gold,8.06,72.79,50,43.7,72.95,77,16,61,No,75.14,0,0,A,No,High
26,24.70,91,24.95,27.19,75.94,45,Phone,Yes,Basic,3.36,6.27,91,13.9,53.24,41,35,90,No,66.38,1,1,B,Yes,Low
26,73.08,98,25.65,65.42,19.81,57,SMS,Yes,Gold,34.95,11.41,15,22.5,25.10,85,56,52,No,86.01,1,0,C,No,Medium
46,48.47,17,94.57,85.00,66.90,46,Email,Yes,Platinum,6.23,51.25,81,45.9,5.20,79,20,26,No,33.02,1,0,B,Yes,Low
87,23.88,45,98.50,77.20,2.72,7,Phone,Yes,Basic,49.78,10.55,66,82.2,38.04,78,96,20,No,28.71,0,1,C,No,Low
92,53.30,16,69.59,79.33,31.68,86,SMS,Yes,Basic,14.07,20.20,18,89.4,65.43,15,44,62,No,88.24,1,1,C,Yes,High
67,63.47,17,88.19,42.75,16.22,1,Email,Yes,Gold,89.03,7.94,73,18.7,85.82,82,54,71,No,47.12,1,0,B,Yes,Medium
34,17.38,71,82.60,10.06,23.99,14,Phone,Yes,Platinum,65.11,62.09,35,84.1,47.13,98,63,13,No,32.51,1,0,A,No,Medium
84,27.93,64,69.42,51.27,30.53,21,SMS,Yes,Platinum,93.83,87.12,77,78.8,66.50,26,91,67,No,11.10,0,0,B,No,Medium
98,11.07,42,4.20,73.99,91.81,28,Email,Yes,Platinum,75.40,80.49,2,96.3,72.67,30,83,28,No,11.26,1,1,D,Yes,High
47,30.13,60,29.72,29.99,74.32,5,Phone,Yes,Gold,59.32,89.23,19,7.9,23.95,79,3,58,No,85.57,0,0,B,No,Medium
9,90.96,67,82.93,87.90,57.18,52,SMS,Yes,Gold,77.39,60.19,89,44.3,60.71,63,59,70,No,51.24,0,0,D,Yes,Low
60,74.36,51,63.41,49.61,50.25,50,Email,Yes,Platinum,27.68,97.15,33,48.2,19.61,61,28,21,No,0.55,1,0,C,No,Low
80,57.20,51,29.35,93.18,39.70,9,Phone,Yes,Basic,50.74,87.42,49,70.2,99.28,13,27,39,No,41.10,0,1,A,No,Medium
96,82.12,0,63.64,49.61,50.25,50,SMS,Yes,Gold,38.38,45.62,37,12.1,41.89,75,7,8,No,94.17,1,0,D,Yes,High
64,91.33,61,87.37,49.61,50.25,50,Email,Yes,Gold,1.17,42.20,30,48.6,57.72,4,12,56,No,72.92,0,0,A,Yes,Low
28,30.63,79,44.64,79.84,82.24,86,Phone,Yes,Gold,58.22,37.12,60,70.6,68.84,37,17,43,No,89.01,1,0,D,Yes,High
34,7.17,41,31.12,49.61,50.25,50,SMS,Yes,Basic,68.83,14.06,49,2.8,50.55,96,38,4,No,38.80,0,0,A,No,Medium
90,11.61,96,31.40,88.84,60.29,83,Email,Yes,Platinum,38.95,38.55,34,54.1,15.41,55,54,76,No,44.04,1,0,B,Yes,Low
27,96.64,56,34.73,58.05,13.92,44,Phone,Yes,Platinum,99.38,88.03,62,56.9,62.07,20,40,4,No,54.30,0,1,C,Yes,High
87,13.07,79,12.48,79.42,27.58,88,SMS,Yes,Basic,98.10,48.34,86,58.9,37.53,29,20,76,No,51.13,0,1,A,Yes,High
83,76.45,57,95.60,20.05,10.93,85,Email,Yes,Gold,6.25,88.35,45,51.0,62.66,93,2,48,No,72.27,1,1,C,No,High
28,21.07,96,0.89,99.78,67.68,83,Phone,Yes,Basic,83.41,74.05,14,75.3,76.89,66,77,85,No,8.86,1,0,C,No,High
35,11.10,81,94.77,7.23,95.51,52,SMS,Yes,Gold,79.45,70.71,5,7.3,40.29,30,23,28,No,92.92,1,1,B,No,High
64,97.90,60,35.78,64.78,12.29,89,Email,Yes,Platinum,62.48,7.18,68,24.2,71.40,82,80,55,No,14.29,0,0,C,Yes,Low
63,5.43,75,31.76,0.01,51.11,5,Phone,Yes,Basic,83.93,0.38,25,74.1,31.63,10,36,27,No,31.33,1,1,D,No,High
96,8.93,69,49.38,38.76,63.27,70,SMS,Yes,Basic,66.64,96.60,76,95.1,70.25,30,11,78,No,4.82,1,1,B,Yes,Low
21,36.87,37,5.24,76.76,41.65,82,Email,No,Gold,47.23,88.02,22,67.8,60.78,30,14,65,No,31.56,1,1,C,No,Low
29,36.78,6,11.15,51.59,26.76,84,Phone,Yes,Platinum,1.93,12.44,41,49.3,40.43,53,60,1,No,96.35,0,0,C,No,High
52,97.60,13,1.69,49.61,50.25,50,SMS,Yes,Platinum,77.31,51.80,35,37.2,0.14,30,65,97,No,2.36,1,1,D,No,Medium
30,6.57,23,24.66,48.41,74.74,47,Email,Yes,Platinum,78.52,99.13,54,96.3,7.56,37,23,20,No,62.24,0,1,D,Yes,Medium
39,67.41,26,34.52,91.75,29.05,47,Phone,Yes,Gold,14.73,0.78,63,44.8,13.43,96,53,24,No,67.96,1,1,C,No,Medium
43,4.39,17,44.55,20.92,5.00,84,SMS,Yes,Gold,24.20,96.06,20,95.1,99.48,71,98,57,No,43.70,0,1,C,No,Low
79,90.79,94,96.01,52.15,97.73,76,Email,Yes,Platinum,24.73,64.06,67,16.3,56.51,77,50,1,No,35.70,0,0,D,Yes,High
85,72.89,10,42.87,2.92,48.09,66,Phone,Yes,Basic,91.95,99.33,4,76.1,37.17,39,75,92,No,57.71,1,1,C,Yes,High
66,24.04,19,91.82,49.61,50.25,50,SMS,No,Gold,86.68,28.25,95,58.2,43.66,58,52,76,No,35.31,1,1,A,Yes,Medium
48,49.75,20,59.11,18.61,33.16,86,Email,Yes,Gold,94.08,50.69,41,81.1,83.58,33,69,77,No,15.16,1,0,B,Yes,Low
13,76.55,0,41.66,49.61,50.25,50,Phone,Yes,Gold,23.04,0.15,73,96.7,22.43,66,74,85,No,30.29,1,0,D,Yes,Low
90,80.67,98,75.42,39.32,59.06,66,SMS,Yes,Basic,16.73,78.06,58,95.2,4.24,27,60,30,No,75.90,1,1,D,Yes,Low
83,69.72,71,46.17,92.10,69.46,73,Email,Yes,Platinum,19.52,34.53,34,97.9,85.65,70,73,56,No,49.63,0,1,C,No,Low
3,83.90,1,70.37,97.03,43.77,23,Phone,Yes,Platinum,96.70,5.17,50,71.8,86.26,18,80,55,No,13.17,0,1,C,Yes,Low
67,79.67,25,62.49,57.17,83.28,91,SMS,Yes,Basic,54.89,28.76,31,35.3,62.13,33,73,40,No,78.38,1,0,D,No,Medium
37,94.44,64,67.15,63.23,19.90,42,Email,Yes,Gold,27.63,43.20,98,6.8,51.87,18,97,11,No,73.79,0,1,C,Yes,Low
21,48.30,27,28.75,65.68,96.85,60,Phone,Yes,Basic,29.73,9.21,60,62.4,64.85,27,2,97,No,67.60,0,1,B,Yes,Medium
87,94.67,11,15.48,94.47,73.65,88,SMS,Yes,Gold,68.01,40.82,2,58.3,25.31,45,96,40,No,18.85,1,0,D,No,Low
9,74.84,91,43.40,25.87,43.44,72,Email,Yes,Platinum,63.77,24.20,71,9.1,19.93,88,74,1,No,21.44,1,1,A,No,High
61,67.29,8,95.15,83.85,80.51,82,Phone,Yes,Basic,61.68,74.29,74,52.1,6.85,37,92,58,No,26.89,0,1,C,Yes,High
63,24.84,71,42.76,44.25,64.93,94,SMS,Yes,Basic,44.39,2.19,30,50.3,5.62,49,93,11,No,40.97,0,0,B,Yes,Medium
19,66.42,88,81.41,68.51,11.04,29,Email,Yes,Gold,53.56,35.69,35,82.9,78.93,31,91,95,No,35.44,1,0,B,Yes,Low
55,50.31,19,85.88,67.69,83.79,86,Phone,Yes,Platinum,16.04,67.36,18,69.4,22.96,12,17,0,No,73.24,1,1,D,No,Low
89,24.15,35,10.53,22.24,51.92,61,SMS,Yes,Platinum,23.42,21.96,96,61.6,55.69,42,43,54,No,70.21,1,1,D,No,Low
53,11.54,61,11.72,33.72,14.28,69,Email,Yes,Platinum,20.43,50.78,42,1.8,79.28,7,47,56,No,68.86,0,1,A,Yes,Low
82,84.33,49,33.36,79.16,45.13,18,Phone,Yes,Gold,7.57,38.78,80,90.2,20.35,7,88,39,No,96.81,1,0,D,No,Low
43,99.72,56,32.12,22.01,35.05,37,SMS,No,Gold,72.27,65.67,71,0.8,21.77,66,48,1,No,77.28,1,0,D,No,Medium
75,80.30,52,14.03,67.12,62.05,74,Email,Yes,Platinum,75.00,90.82,76,59.7,65.41,89,58,63,No,47.39,1,1,D,Yes,Medium
21,42.49,91,50.71,18.79,7.70,70,Phone,Yes,Basic,79.62,27.19,69,26.4,93.91,64,32,27,No,69.46,0,1,D,Yes,Low
78,76.09,19,8.84,69.89,36.83,43,SMS,Yes,Gold,87.92,24.34,56,3.9,66.68,32,90,89,No,90.10,1,1,C,No,Medium
7,9.49,100,32.66,74.82,80.67,86,Email,Yes,Gold,41.12,13.01,2,36.0,78.37,57,31,65,No,1.44,1,1,B,Yes,Medium
62,56.34,62,86.44,58.69,58.10,99,Phone,Yes,Gold,38.92,22.89,60,92.8,92.91,34,53,21,No,98.11,1,0,B,No,Medium
45,67.48,68,37.31,94.17,16.74,50,SMS,Yes,Basic,27.53,15.62,64,59.9,17.94,71,46,67,No,16.97,1,1,D,Yes,Low
80,96.09,54,48.85,40.19,15.37,57,Email,Yes,Platinum,59.28,35.49,5,3.2,42.33,8,61,88,No,65.90,0,1,C,No,High
29,80.26,100,3.00,49.61,50.25,50,Phone,Yes,Platinum,33.53,6.70,98,81.7,85.25,94,9,39,No,21.08,0,1,C,No,Low
15,97.31,76,96.78,43.97,27.84,80,SMS,Yes,Basic,12.97,25.65,36,67.4,6.26,21,81,15,No,86.47,1,0,D,No,High
80,13.71,58,50.55,14.41,62.40,27,Email,Yes,Gold,30.65,82.24,6,41.9,45.84,73,57,67,No,86.22,1,0,D,Yes,Medium
37,19.52,49,74.16,49.61,50.25,50,Phone,Yes,Basic,32.82,45.40,76,12.6,19.64,95,18,57,No,48.96,1,1,D,Yes,High
14,57.09,19,27.86,21.87,18.28,83,SMS,Yes,Gold,57.13,14.30,37,79.8,36.74,9,56,85,No,17.51,0,0,D,No,High
26,0.07,87,79.26,49.61,50.25,50,Email,Yes,Platinum,48.61,92.07,4,29.1,20.75,24,91,47,No,76.06,1,0,D,Yes,Low
77,39.79,83,17.07,3.05,20.44,34,Phone,Yes,Basic,50.99,50.13,5,3.5,55.12,44,84,16,No,44.90,1,1,B,Yes,High
28,17.35,38,80.14,39.21,75.08,13,SMS,Yes,Basic,56.58,92.91,39,6.6,1.92,83,52,78,No,34.51,1,0,A,No,Low
61,67.85,32,84.81,94.72,88.49,74,Email,Yes,Gold,1.03,71.60,71,62.3,99.01,31,34,8,No,26.10,0,1,C,No,Medium
93,6.18,9,16.28,59.52,15.05,97,Phone,Yes,Platinum,47.10,66.19,75,75.4,57.79,90,82,76,No,0.69,0,1,A,Yes,Low
90,90.92,31,69.11,27.16,19.06,18,SMS,Yes,Platinum,11.99,73.49,53,28.8,49.28,30,60,43,No,11.66,1,0,D,Yes,Medium
93,82.10,57,65.70,89.84,39.95,33,Email,Yes,Platinum,10.45,57.69,46,11.9,98.06,21,7,59,No,3.24,1,0,C,No,High
30,93.83,82,98.36,25.97,96.97,43,Phone,Yes,Gold,69.20,45.79,23,61.4,25.29,58,36,82,No,47.74,1,1,D,No,Medium
8,46.67,48,84.09,22.12,38.10,81,SMS,Yes,Gold,454.93,93.26,12,93.4,68.39,53,3,48,No,16.12,1,1,A,No,Low
42,11.64,61,93.85,66.18,7.68,35,Email,Yes,Platinum,81.47,61.18,37,25.5,10.59,35,41,68,No,7.01,1,0,C,No,High
42,16.82,88,55.70,23.14,50.24,73,Phone,Yes,Basic,93.43,91.64,64,63.0,40.32,75,53,68,No,73.15,1,0,C,No,High
43,37.90,92,25.12,84.42,48.40,51,SMS,Yes,Gold,3.93,27.20,1,97.8,96.57,40,73,35,No,80.54,0,1,C,Yes,Medium
3,60.35,66,68.80,12.04,93.85,18,Email,Yes,Gold,54.65,41.72,16,17.1,41.81,76,90,8,No,10.02,0,1,D,No,High
2,83.49,97,13.55,23.15,86.84,93,Phone,Yes,Gold,57.39,39.29,3,58.3,1.13,79,31,4,No,39.77,1,1,B,Yes,Low
90,37.47,55,5.06,42.61,83.24,81,SMS,Yes,Basic,93.04,9.54,45,33.7,87.07,8,21,75,No,49.25,0,0,B,No,Medium
57,80.54,76,15.39,14.92,26.82,36,Email,Yes,Platinum,3.47,39.19,70,19.3,64.15,26,89,90,No,23.00,0,1,B,No,High
82,39.70,16,73.80,36.05,67.13,27,Phone,Yes,Platinum,98.84,97.73,79,65.9,57.78,87,29,47,No,41.12,0,1,C,No,High
93,68.91,82,55.62,77.95,1.62,82,SMS,Yes,Basic,29.41,21.03,77,25.3,86.56,10,13,98,No,84.69,0,0,A,Yes,Low
58,42.91,28,76.86,49.61,50.25,50,Email,Yes,Gold,5.99,13.10,61,84.9,4.50,73,34,48,No,33.20,1,0,A,Yes,High
63,42.64,55,17.46,29.59,66.38,97,Phone,Yes,Basic,56.39,50.03,7,9.0,60.09,34,92,41,No,71.47,0,1,B,Yes,High
68,67.96,95,29.58,0.11,27.20,22,SMS,Yes,Gold,1.62,72.88,32,66.5,55.66,34,13,9,No,91.84,1,1,A,No,Medium
12,0.00,71,35.66,25.45,1.29,54,Email,Yes,Platinum,51.45,8.51,55,38.0,60.71,39,24,9,No,9.66,0,0,A,Yes,Medium
100,58.27,81,32.69,30.57,40.27,67,Phone,Yes,Basic,63.24,12.83,58,69.3,70.06,75,87,50,No,61.92,1,0,C,No,Medium
85,19.62,13,96.35,49.61,50.25,50,SMS,Yes,Basic,10.55,58.56,708,23.4,63.78,82,4,50,No,25.23,0,1,A,Yes,Medium
73,36.48,64,46.62,18.99,70.17,56,Email,Yes,Gold,31.58,5.69,77,70.2,33.14,68,40,76,No,41.23,1,1,B,No,Low
38,6.20,34,50.59,16.19,65.81,100,Phone,Yes,Platinum,11.51,88.33,41,38.7,65.97,44,65,6,No,94.05,0,0,C,No,High
58,40.15,34,12.68,39.17,16.27,73,SMS,Yes,Platinum,59.52,87.19,58,34.5,80.30,54,8,57,No,39.63,1,0,B,Yes,Low
8,93.96,76,58.66,82.84,8.02,48,Email,Yes,Platinum,27.71,94.09,12,87.5,97.09,18,72,4,No,51.63,0,0,A,No,High
95,2.21,98,8.61,81.44,28.03,13,Phone,Yes,Gold,5.46,59.95,90,38.3,21.63,44,5,82,No,58.80,1,1,B,Yes,High
78,59.86,41,95.79,54.11,60.51,22,SMS,Yes,Gold,5.96,60.44,76,52.3,22.68,67,8,44,No,18.45,1,0,C,No,Low
48,38.28,84,14.53,50.57,6.20,7,Email,Yes,Platinum,55.79,95.98,5,9.8,4.41,19,54,65,No,94.60,1,0,D,No,Medium
12,51.86,25,35.81,98.95,68.43,95,Phone,Yes,Basic,7.68,0.42,67,64.2,41.08,49,42,2,No,17.71,0,1,A,No,Low
39,23.69,10,17.90,79.75,67.75,55,SMS,Yes,Gold,28.06,34.99,78,99.3,24.07,87,83,22,No,40.97,0,1,D,Yes,High
